"3,2","[1, 2, 2, 1]"
"3,3","[1, 1, 1]"
"4,2","[1, 3, 5, 6, 5, 3, 1]"
"4,3","[1, 2, 4, 4, 1]"
"4,4","[1, 1, 1, 1]"
"5,2","[1, 4, 9, 15, 20, 22, 20, 15, 9, 4, 1]"
"5,3","[1, 3, 9, 18, 18, 9, 2]"
"5,4","[1, 2, 4, 8, 14, 22, 28, 23, 13, 5]"
"5,5","[1, 1, 1, 1, 1]"
"6,2","[1, 5, 14, 29, 49, 71, 90, 101, 101, 90, 71, 49, 29, 14, 5, 1]"
"6,3","[1, 4, 15, 42, 77, 91, 76, 39, 13, 2]"
"6,4","[1, 3, 9, 27, 71, 154, 235, 175, 44, 1]"
"6,5","[1, 2, 4, 8, 16, 28, 45, 65, 78, 67, 41, 5]"
"7,2","[1, 6, 20, 49, 98, 169, 259, 359, 455, 531, 573, 573, 531, 455, 359, 259, 169, 98, 49, 20, 6, 1]"
"7,3","[1, 5, 22, 76, 194, 362, 502, 530, 431, 255, 108, 30, 4]"
"7,4","[1, 4, 16, 61, 211, 629, 1328, 1549, 932, 277, 32]"
"7,5","[1, 3, 9, 27, 81, 212, 448, 733, 773, 221, 12]"
"8,2","[1, 7, 27, 76, 174, 343, 602, 961, 1415, 1940, 2493, 3017, 3450, 3736, 3836, 3736, 3450, 3017, 2493, 1940, 1415, 961, 602, 343, 174, 76, 27, 7, 1]"
"8,3","[1, 6, 30, 120, 376, 927, 1790, 2743, 3453, 3582, 3056, 2127, 1198, 533, 176, 38, 4]"
"8,4","[1, 5, 24, 109, 458, 1698, 4808, 8868, 10474, 8172, 4172, 1290, 223, 18]"
"8,5","[1, 4, 16, 64, 247, 869, 2557, 5731, 7119, 3040, 502, 10]"
"9,2","[1, 8, 35, 111, 285, 628, 1230, 2191, 3606, 5545, 8031, 11021, 14395, 17957, 21450, 24584, 27073, 28675, 29228, 28675, 27073, 24584, 21450, 17957, 14395, 11021, 8031, 5545, 3606, 2191, 1230, 628, 285, 111, 35, 8, 1]"
"9,3","[1, 7, 39, 175, 634, 1883, 4577, 9111, 15179, 21559, 26407, 27974, 25664, 20362, 13893, 8059, 3886, 1502, 436, 84, 8]"
"9,4","[1, 6, 33, 171, 827, 3590, 12615, 32209, 58601, 77984, 77197, 56208, 29348, 10810, 2782, 462, 36]"
"9,5","[1, 5, 25, 121, 566, 2474, 9411, 28316, 53624, 51645, 26979, 7515, 756, 2]"
